ID	PATH	INFO
283	283.jpg	AUTHOR: ALLEGRAIN, Christophe-Gabriel, BORN-DIED: (b. 1710, Paris, d. 1795, Paris), TITLE: Venus at Bath, DATE: c. 1767, TECHNIQUE: Marble, height 174 cm, LOCATION: Musée du Louvre, Paris, FORM: sculpture, TYPE: mythological, SCHOOL: French, TIMELINE: 1751-1800
466	466.jpg	AUTHOR: AMMANATI, Bartolomeo, BORN-DIED: (b. 1511, Settignano, d. 1592, Firenze), TITLE: Allegory of Winter, DATE: 1563-65, TECHNIQUE: Stone, LOCATION: Villa Medici, Castello, FORM: sculpture, TYPE: mythological, SCHOOL: Italian, TIMELINE: 1551-1600
1072	1072.jpg	AUTHOR: ANTONIO DA FIRENZE, BORN-DIED: (active in the first half of the 15th century), TITLE: Madonna and Child with Saints, DATE: 1400-50, TECHNIQUE: Tempera on wood, 151 x 85 cm, LOCATION: The Hermitage, St. Petersburg, FORM: painting, TYPE: religious, SCHOOL: Italian, TIMELINE: 1401-1450
2436	2436.jpg	AUTHOR: ARNOLFO DI CAMBIO, BORN-DIED: (b. ca. 1245, Colle di Valdelse, d. ca. 1310, Firenze), TITLE: Presepio (detail), DATE: -, TECHNIQUE: Marble, LOCATION: Santa Maria Maggiore, Rome, FORM: sculpture, TYPE: religious, SCHOOL: Italian, TIMELINE: 1251-1300
2545	2545.jpg	AUTHOR: AST, Balthasar van der, BORN-DIED: (b. 1594, Middelburg, d. 1657, Delft), TITLE: Still-Life with a Basket of Flowers, DATE: after 1632, TECHNIQUE: Oil on canvas, 42 x 62 cm, LOCATION: Nationalmuseum, Stockholm, FORM: painting, TYPE: still-life, SCHOOL: Dutch, TIMELINE: 1601-1650
2550	2550.jpg	AUTHOR: AST, Balthasar van der, BORN-DIED: (b. 1594, Middelburg, d. 1657, Delft), TITLE: Vase of Flowers by a Window, DATE: 1650-57, TECHNIQUE: Oil on panel, 67 x 98 cm, LOCATION: Anhaltische Gemäldegalerie, Dessau, FORM: painting, TYPE: still-life, SCHOOL: Dutch, TIMELINE: 1601-1650
3100	3100.jpg	AUTHOR: BARYE, Antoine-Louis, BORN-DIED: (b. 1796, Paris, d. 1875, Paris), TITLE: Lion Bitten by a Snake, DATE: 1831, TECHNIQUE: Bronze, 135 x 178 cm, LOCATION: Musée du Louvre, Paris, FORM: sculpture, TYPE: genre, SCHOOL: French, TIMELINE: 1801-1850
3118	3118.jpg	AUTHOR: BASAITI, Marco, BORN-DIED: (active 1496-1530 in Venice), TITLE: St Sebastian, DATE: -, TECHNIQUE: Oil on canvas, LOCATION: Santa Maria della Salute, Venice, FORM: painting, TYPE: religious, SCHOOL: Italian, TIMELINE: 1501-1550
3483	3483.jpg	AUTHOR: BELLINI, Giovanni, BORN-DIED: (b. ca. 1426, Venezia, d. 1516, Venezia), TITLE: Madonna and Child, DATE: c. 1455, TECHNIQUE: Tempera on panel, 72 x 46 cm, LOCATION: Metropolitan Museum of Art, New York, FORM: painting, TYPE: religious, SCHOOL: Italian, TIMELINE: 1451-1500
3764	3764.jpg	AUTHOR: BENEFIAL, Marco, BORN-DIED: (b. 1684, Roma, d. 1764, Roma), TITLE: Self-Portrait, DATE: 1731, TECHNIQUE: Red chalk on paper, 354 x 230 mm, LOCATION: J. Paul Getty Museum, Los Angeles, FORM: painting, TYPE: portrait, SCHOOL: Italian, TIMELINE: 1701-1750
